transaction_id,rotate_id,msisdn,received_time,event_code,status,amount,currency
b4ddb095-4b4f-422a-a890-34eeca2aa970,0d104503-83cc-4bf1-9181-2bfcb14ba5f1,447734540056,2026-01-01 00:03:59.000,1,FAILED,0,GBP
1f76d867-617f-4ba1-929a-e682c67a0a3d,d7897e4a-f9e5-45a1-82c2-992e50b643eb,447747638271,2026-01-01 00:21:04.000,2,PENDING,0,GBP
9508f487-abb2-47a3-a12b-1d44c494af83,1f013b07-f2fb-4b4a-9b0f-0fd72442a7e0,447729001880,2026-01-01 00:39:44.000,1,FAILED,0,GBP
83c5280c-bfbc-41ba-a1c6-51da8ccd9238,402f3967-1925-4e55-8ead-2e2253edca42,447711790860,2026-01-01 00:42:55.000,1,SUCCESS,0,GBP
a3ad294f-f1bf-468f-b846-57a649f95a55,9af90657-648f-464f-ac86-f0617750eedc,447760314807,2026-01-01 01:19:12.000,2,SUCCESS,2.49,GBP
8482b45d-9285-4877-becc-0d9140aa5461,6d6979a0-8590-4fc9-ad76-298d361d0f5d,447708215004,2026-01-01 01:52:50.000,1,FAILED,0,GBP
f98fe4cc-0b46-4284-bfcc-d51682cc0185,a11a71ec-6a90-46ad-bd7f-82cba2d27417,447714008928,2026-01-01 02:04:50.000,1,FAILED,0,GBP
078be3e6-c546-4b5d-a998-f7a721365a20,521ad28c-f950-4774-bc36-1bc650a78865,447782041003,2026-01-01 03:32:11.000,1,FAILED,0,GBP
fcf213a8-0636-4d69-91f1-a80ed020b9a1,918c36a0-6005-4002-ae2d-9a225ef402fd,447703145143,2026-01-01 03:55:27.000,1,FAILED,0,GBP
2ecc6666-1e73-4240-8f4d-4e683663758b,f22d6518-04d7-4ac8-9116-250f933507c5,447740783910,2026-01-01 04:10:04.000,1,SUCCESS,0,GBP
aba151e5-1cc6-4140-b9dc-04718a2fd50e,694c648a-6615-40ca-8485-490e2ffdd498,447720899550,2026-01-01 04:48:35.000,2,PENDING,0,GBP
9f20c1a4-31fd-4c98-b747-c7810ec7b84b,c866b53a-ee63-41d7-a6f3-8de942381044,447736424452,2026-01-01 05:27:41.000,2,SUCCESS,1.99,GBP
2977d67c-ccb2-4e0c-aabe-5e72809200af,b74f8b7c-cfde-40a6-a210-332c8205cff0,447770147046,2026-01-01 06:51:43.000,2,SUCCESS,1.99,GBP
4de91d96-9bfe-4250-a325-8cb40e13608d,5ba085e7-3939-4a94-96cd-07bc1ff8e348,447773226213,2026-01-01 07:27:12.000,1,SUCCESS,0,GBP
388bfdbe-bcce-4a7d-b940-f292133d584f,558467b7-4d8b-4eb9-a048-bbf33190dc7e,447710834088,2026-01-01 07:28:18.000,1,PENDING,0,GBP
acfd68f8-3956-47e9-a262-31a6642a300c,d6b1604d-019b-4b55-9cbe-a6f059b1e562,447703999571,2026-01-01 07:57:59.000,1,FAILED,0,GBP
fae46221-a5e1-4213-8904-2f9d86454750,04ec1ed1-657f-45db-9b3b-c26b90725ce1,447701563524,2026-01-01 08:29:34.000,2,SUCCESS,1.99,GBP
