message_id,msisdn,received_time,tracking_code,service_id,delivery_status
f2ba1e17-fbb2-4c5e-af0d-0e6ee21fc35e,447767996293,2026-01-01 03:02:25.000,VAC,SVC_001,SMSC_QUEUED
441c6117-8eca-4ef9-a87b-b597109f6e8e,447796371386,2026-01-01 04:19:44.000,LDQ,SVC_002,DELIVERED
53ce2852-ce24-4e1c-b9d9-88018336c653,447706924415,2026-01-01 05:04:59.000,QFJ,SVC_002,DELIVERED
e617cd59-776c-4743-90dc-fa8ebf2ad38a,447778360878,2026-01-01 05:32:16.000,YLG,SVC_002,DELIVERED
5d666775-efd7-4ab1-bcda-ff319f3eb55d,447778428644,2026-01-01 05:48:55.000,MBX,SVC_001,FAILED
fe051b44-73e7-4dfa-a7ef-87ff1dd20f64,447704793584,2026-01-01 06:09:06.000,WDH,SVC_002,DELIVERED
8a2278f8-5a75-41ac-9b57-1453dc9c923d,447760663822,2026-01-01 06:12:22.000,TNF,SVC_002,SMSC_QUEUED
29dafbb3-bcda-40eb-b0ef-65ef7e989bdf,447792987244,2026-01-01 06:59:05.000,PJQ,SVC_001,SMSC_QUEUED
b0048e11-9813-4cbb-b0a1-a1491f24a6ab,447704968028,2026-01-01 07:40:30.000,JWGT,SVC_002,SMSC_QUEUED
ae0fd320-b906-428c-8901-f426962043a4,447777617696,2026-01-01 07:49:18.000,AGM,SVC_002,DELIVERED
4082ce00-4169-45da-8f62-895c5afc51e7,447706557018,2026-01-01 11:08:54.000,IKVE,SVC_001,SMSC_QUEUED
179cd514-f4a8-4c5d-83a6-35d1cd90214c,447751706703,2026-01-01 12:25:33.000,GIQZ,SVC_004,DELIVERED
cac360a4-64c1-45cc-b7ab-a689468282a9,447759100935,2026-01-01 12:39:30.000,CWN,SVC_001,DELIVERED
c5d7365c-15b2-4a40-8c4e-afaf1f819801,447799886163,2026-01-01 13:29:41.000,GHV,SVC_001,DELIVERED
450e9b3f-173b-424a-9d99-5f715e727a6e,447738070019,2026-01-01 14:23:11.000,YYW,SVC_002,DELIVERED
c1ea02bd-6963-48c6-bc31-25ac64aea870,447792618097,2026-01-01 14:40:41.000,SHPD,SVC_001,DELIVERED
7bb82fc2-0071-405d-b9e5-5a548bfc5f91,447783300132,2026-01-01 15:13:46.000,UNE,SVC_001,DELIVERED
d1cc58f5-ef25-4e66-9e44-f13c0b882284,447754218886,2026-01-01 16:38:53.000,TUK,SVC_001,DELIVERED
de450b1b-ea62-4679-bb9d-90ac463926bf,447797979231,2026-01-01 19:04:45.000,PQR,SVC_001,DELIVERED
b70da142-a083-4b20-99d6-4ca02ca42125,447779084975,2026-01-01 23:23:40.000,JTN,SVC_001,DELIVERED
49f38c6c-4ead-40a5-8844-199061e5282a,447716367959,2026-01-01 23:59:39.000,FYA,SVC_001,FAILED
d9f09ae9-4d7c-46aa-9a63-2cc5eb895c5e,447725242843,2026-01-02 00:19:56.000,CXG,SVC_001,DELIVERED
6eae8b75-5237-4bbc-8fe6-b9af8105c1c1,447772642604,2026-01-02 00:21:52.000,BMN,SVC_002,SMSC_QUEUED
36825dbc-c172-465d-8337-6a7df325a1fe,447773728106,2026-01-02 04:16:47.000,XCY,SVC_002,DELIVERED
eb35aa22-4612-4f39-92f8-fd4f14a594c8,447792012628,2026-01-02 05:13:26.000,DUU,SVC_002,FAILED
78874e22-8841-48fc-a3c7-fca164ab377a,447769584395,2026-01-02 05:54:46.000,TYG,SVC_001,DELIVERED
21e3e39b-87ab-4073-aef4-c0794433de28,447774038899,2026-01-02 10:02:00.000,UXC,SVC_002,SMSC_QUEUED
d41eebc3-c02c-4bb1-b9f2-2ff446fc6682,447734665129,2026-01-02 11:20:34.000,SYT,SVC_001,DELIVERED
55180375-045d-4c6d-a95d-fc7b6b7a4b76,447722949623,2026-01-02 11:34:41.000,SAC,SVC_002,SMSC_QUEUED
c4015175-0bde-4644-af54-01b8eaa82c1d,447722157025,2026-01-02 12:13:30.000,ORF,SVC_001,SMSC_QUEUED
f7b8ddf8-805a-470a-851f-fbd33efeec7f,447737401092,2026-01-02 12:53:13.000,ETT,SVC_002,FAILED
d97d9ea1-8337-4807-9e00-ba7e4087cca7,447739286087,2026-01-02 13:32:03.000,VFH,SVC_001,DELIVERED
fad755fa-d305-4f6c-8c5c-53a330d55de1,447754659370,2026-01-02 13:59:29.000,SSJ,SVC_001,DELIVERED
71b17242-02b4-4ea7-a9db-debce196843c,447736223959,2026-01-02 14:04:43.000,WHR,SVC_002,DELIVERED
5bb9c399-e80c-4d1c-ac34-7d3d0b2078f0,447773128313,2026-01-02 14:09:47.000,RFD,SVC_002,FAILED
0ae182a6-af2a-49f8-b104-ac67d2fe2030,447789714355,2026-01-02 14:22:38.000,RVE,SVC_001,DELIVERED
c9779f85-28b2-42fa-9e1b-33899ad70557,447794469882,2026-01-02 14:30:31.000,AJN,SVC_002,SMSC_QUEUED
f18b7ed3-b1f1-4496-8397-451ac744d666,447714104845,2026-01-02 18:58:30.000,VKC,SVC_002,DELIVERED
65e1aec1-2d11-4157-ad22-34928ae47841,447753314561,2026-01-02 19:43:43.000,FDC,SVC_001,DELIVERED
6b29b8ac-68e0-4d38-ae97-416a5e559591,447781928900,2026-01-02 20:14:15.000,SES,SVC_002,DELIVERED
8479da22-0ade-49fe-b56c-9d29540c2f8b,447712396419,2026-01-02 21:17:44.000,XXZ,SVC_002,DELIVERED
f7f0686a-c43a-4163-87e3-40840e901bdd,447798132729,2026-01-02 21:39:33.000,EZN,SVC_002,DELIVERED
0404e5d4-b99f-4077-b328-75505bcb382d,447709319090,2026-01-02 21:47:45.000,FLE,SVC_001,SMSC_QUEUED
6360b8a8-d4a8-403c-bca0-e00ec503d349,447779387645,2026-01-02 21:51:25.000,UHG,SVC_001,DELIVERED
974b3d7a-a900-4508-bc11-1f19ecc14437,447778532627,2026-01-02 21:59:56.000,YUV,SVC_002,DELIVERED
0dd3c71d-5236-453c-b82c-5fd9a8e143f8,447758460573,2026-01-02 22:31:29.000,WCS,SVC_001,FAILED
896553c0-4397-411b-a40f-696b5c0bdf16,447763996632,2026-01-02 23:15:37.000,HCFZ,SVC_005,DELIVERED
a034d73f-64f7-4173-9796-5e94e67ed287,447716563265,2026-01-02 23:36:37.000,OKQ,SVC_001,SMSC_QUEUED
b1163871-c957-453d-870c-f5c34db294f7,447761464355,2026-01-02 23:57:56.000,TDN,SVC_001,FAILED
1a396c71-dc94-416b-9775-9c07c5c589d5,447790590159,2026-01-03 00:05:06.000,WUG,SVC_001,DELIVERED
c4423070-7c5c-4139-af5a-62c52f737b80,447776423914,2026-01-03 00:19:28.000,NPW,SVC_002,DELIVERED
202d7df3-ed5c-41b1-a7b2-828d28148321,447741432616,2026-01-03 00:32:36.000,OCN,SVC_001,DELIVERED
40784490-2eee-4539-8844-953401e0a6d4,447759446810,2026-01-03 00:54:07.000,GID,SVC_002,DELIVERED
badb9d8f-1bd4-4e71-b107-930b17c555a3,447763824507,2026-01-03 01:00:02.000,BMV,SVC_002,DELIVERED
1add6ad6-a0fc-4bdc-8a22-ec5c94349796,447784147728,2026-01-03 05:07:10.000,RZI,SVC_002,DELIVERED
73d953da-875b-403d-814c-ef119e3fe1e9,447713322651,2026-01-03 05:26:12.000,TUU,SVC_002,DELIVERED
ffe68cea-1eeb-43ba-b5bf-6f8db4d25c01,447710417436,2026-01-03 05:42:59.000,AVA,SVC_001,FAILED
cbdc3a87-bccd-44b0-a99f-d6b4e3e30818,447708070642,2026-01-03 06:11:20.000,YHXXK,SVC_002,DELIVERED
aada915b-ad05-4e9c-8202-d0a5ec82f183,447775963912,2026-01-03 11:30:34.000,UBEZL,SVC_001,FAILED
